url,week_price,location,desc,topics,available_now,photos_taken_on,bedrooms,bathrooms,tube,included,property_id
https://myrooms.co.uk/properties/brand-new-double-room-for-couples-in-a-modern-flatshare-in-vauxhall-lang-house-sw8-a/,280,b'Vauxhall Underground Station',"b'Spacious double room for couples in a modern flat-share in Vauxhall, Lang House, SW8, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-10-01,3,1,b'Vauxhall Underground Station',b'All Bills and Wifi',b'#157-A'
https://myrooms.co.uk/properties/spacious-double-room-in-swiss-cottage-boundary-road-nw8-a/,285,b'Swiss Cottage',"b'Spacious Couple room in Swiss Cottage, Boundary Road, NW8, -A'","[b'Balcony', b'Bars at proximity', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-07-01,3,1,b'Swiss Cottage',b'All Bills and Wifi',b'#225-A'
https://myrooms.co.uk/properties/1-faber-house-sw8-a/,280,b'Stockwell Underground Station',"b'An amazing double room for couples to rent in the heart of Stockwell, 1 Faber House, SW8, -A'","[b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished', b'Selection of shops']",True,2018-10-01,3,1,b'Stockwell Underground Station',b'All Bills and Wifi',b'#165-A'
https://myrooms.co.uk/properties/charming-brand-new-double-room-couples-parsons-greenfulham-broadway-allestree-court-sw6/,285,b'Fulham Broadway Underground Station',"b'Charming double room for couples in Parsons Green/Fulham Broadway, Allestree Road, SW6, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2017-11-01,3,1,b'Fulham Broadway Underground Station',b'All Bills and Wifi',b'#136-A'
https://myrooms.co.uk/properties/great-accommodation-for-single-use-in-a-flat-share-in-hackney-hockley-house-e9-b/,190,b'Hackney',"b'Great accommodation for single use in a flat-share in Hackney, Hockley House, E9, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-07-01,4,1,b'Hackney',b'All Bills and Wifi',b'#153 - B'
https://myrooms.co.uk/properties/lovely-double-room-for-couple-in-clapham-junction-lavander-hill-sw1p-c/,245,b'CLAPHAM JUNCTION STATION',"b'Lovely double room for couples in Clapham Junction, Lavander Hill, SW11, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-06-01,3,1,b'CLAPHAM JUNCTION STATION',b'All Bills and Wifi',b'#213-C'
https://myrooms.co.uk/properties/brand-new-double-room-for-couples-in-a-modern-flatshare-in-vauxhall-lang-house-sw8-a/,280,b'Vauxhall Underground Station',"b'Spacious double room for couples in a modern flat-share in Vauxhall, Lang House, SW8, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-10-01,3,1,b'Vauxhall Underground Station',b'All Bills and Wifi',b'#157-A'
https://myrooms.co.uk/properties/spacious-double-room-in-swiss-cottage-boundary-road-nw8-a/,285,b'Swiss Cottage',"b'Spacious Couple room in Swiss Cottage, Boundary Road, NW8, -A'","[b'Balcony', b'Bars at proximity', b'Broadband', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-07-01,3,1,b'Swiss Cottage',b'All Bills and Wifi',b'#225-A'
https://myrooms.co.uk/properties/1-faber-house-sw8-a/,280,b'Stockwell Underground Station',"b'An amazing double room for couples to rent in the heart of Stockwell, 1 Faber House, SW8, -A'","[b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished', b'Selection of shops']",True,2018-10-01,3,1,b'Stockwell Underground Station',b'All Bills and Wifi',b'#165-A'
https://myrooms.co.uk/properties/charming-brand-new-double-room-couples-parsons-greenfulham-broadway-allestree-court-sw6/,285,b'Fulham Broadway Underground Station',"b'Charming double room for couples in Parsons Green/Fulham Broadway, Allestree Road, SW6, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2017-11-01,3,1,b'Fulham Broadway Underground Station',b'All Bills and Wifi',b'#136-A'
https://myrooms.co.uk/properties/great-accommodation-for-single-use-in-a-flat-share-in-hackney-hockley-house-e9-b/,190,b'Hackney',"b'Great accommodation for single use in a flat-share in Hackney, Hockley House, E9, -B'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-07-01,4,1,b'Hackney',b'All Bills and Wifi',b'#153 - B'
https://myrooms.co.uk/properties/lovely-double-room-for-couple-in-clapham-junction-lavander-hill-sw1p-c/,245,b'CLAPHAM JUNCTION STATION',"b'Lovely double room for couples in Clapham Junction, Lavander Hill, SW11, -C'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2019-06-01,3,1,b'CLAPHAM JUNCTION STATION',b'All Bills and Wifi',b'#213-C'
https://myrooms.co.uk/properties/brand-new-double-room-for-couples-in-a-modern-flatshare-in-vauxhall-lang-house-sw8-a/,280,b'Vauxhall Underground Station',"b'Spacious double room for couples in a modern flat-share in Vauxhall, Lang House, SW8, -A'","[b'Bars at proximity', b'Broadband', b'Bus nearby', b'Close to the tube', b'Fantastic location', b'Fully Furnished']",True,2018-10-01,3,1,b'Vauxhall Underground Station',b'All Bills and Wifi',b'#157-A'
