url,week_price,location,desc,topics,available_now,photos_taken_on
https://myrooms.co.uk/properties/beautiful-double-room-couples-rent-pimlico-tachbrook-street-gf-sw1v/,285,Pimlico Underground Station,"A beautiful double room for couples to rent in Pimlico, Tachbrook Street (LGF), SW1V, -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",True,2017-09-01
https://myrooms.co.uk/properties/great-double-room-rent-holloway-elfort-road-n5/,205,Arsenal Underground Station,"A great double room to rent in a modern flat-share in Arsenal, Elfort Road, N5, -B","['Bars at proximity', 'Broadband', 'Close to the tube', 'Fantastic location', 'Fully Furnished', 'Selection of shops']",True,2017-09-01
https://myrooms.co.uk/properties/double-room-for-single-use-available-in-camden-town-43-pratt-street-e/,220,Camden Town Underground Station,"Double room for single use available in Camden Town, 43 Pratt Street, NW1, -E","['Bars at proximity', 'Broadband', 'Bus nearby', 'Fantastic location', 'Fully Furnished', 'Living room']",True,2019-03-01
https://myrooms.co.uk/properties/lovely-double-room-for-single-use-in-a-flatshare-in-hammersmith-robert-owen-house-sw6-b/,215,Hammersmith,"Lovely double room for single use in a flatshare in Hammersmith, Robert Owen House, SW6, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",True,2018-10-01
https://myrooms.co.uk/properties/lovely-double-room-rent-stockwell-allan-house-sw8/,180,Stockwell,"A lovely double room to rent in a great house-share with garden in Stockwell, Allan House, SW8, -C","['Bars at proximity', 'Broadband', 'Close to the tube', 'Fantastic location', 'Fully Furnished', 'Garden/Terrace']",True,2017-09-01
https://myrooms.co.uk/properties/great-double-room-rent-finsbury-park-sparsholt-road-n19/,235,Finsbury Park,"A great double room for couples to rent in Finsbury Park, Sparsholt Road, N19, -A","['Balcony', 'Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location']",True,2017-09-01
https://myrooms.co.uk/properties/beautiful-double-room-couples-rent-pimlico-tachbrook-street-gf-sw1v/,285,Pimlico Underground Station,"A beautiful double room for couples to rent in Pimlico, Tachbrook Street (LGF), SW1V, -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",True,2017-09-01
https://myrooms.co.uk/properties/great-double-room-rent-holloway-elfort-road-n5/,205,Arsenal Underground Station,"A great double room to rent in a modern flat-share in Arsenal, Elfort Road, N5, -B","['Bars at proximity', 'Broadband', 'Close to the tube', 'Fantastic location', 'Fully Furnished', 'Selection of shops']",True,2017-09-01
https://myrooms.co.uk/properties/double-room-for-single-use-available-in-camden-town-43-pratt-street-e/,220,Camden Town Underground Station,"Double room for single use available in Camden Town, 43 Pratt Street, NW1, -E","['Bars at proximity', 'Broadband', 'Bus nearby', 'Fantastic location', 'Fully Furnished', 'Living room']",True,2019-03-01
https://myrooms.co.uk/properties/lovely-double-room-for-single-use-in-a-flatshare-in-hammersmith-robert-owen-house-sw6-b/,215,Hammersmith,"Lovely double room for single use in a flatshare in Hammersmith, Robert Owen House, SW6, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",True,2018-10-01
https://myrooms.co.uk/properties/lovely-double-room-rent-stockwell-allan-house-sw8/,180,Stockwell,"A lovely double room to rent in a great house-share with garden in Stockwell, Allan House, SW8, -C","['Bars at proximity', 'Broadband', 'Close to the tube', 'Fantastic location', 'Fully Furnished', 'Garden/Terrace']",True,2017-09-01
https://myrooms.co.uk/properties/great-double-room-rent-finsbury-park-sparsholt-road-n19/,235,Finsbury Park,"A great double room for couples to rent in Finsbury Park, Sparsholt Road, N19, -A","['Balcony', 'Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location']",True,2017-09-01
https://myrooms.co.uk/properties/lovely-double-room-rent-fulham-broadway-harriet-house-sw6/,230,Fulham Broadway Underground Station,"A lovely double room to rent in Fulham Broadway, Harriet House, SW6, -B","['Bars at proximity', 'Broadband', 'Close to the tube', 'Fantastic location', 'Fully Furnished', 'Selection of shops']",True,2015-11-01
https://myrooms.co.uk/properties/amazing-brand-new-double-room-flatshare-central-london-warwick-gardens-gf-c/,265,Earl's Court,"Amazing brand new double room in a flatshare in central London, Warwick Gardens, GF, -B","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",True,2018-03-01
https://myrooms.co.uk/properties/gracious-double-room-for-single-use-in-a-modern-flatshare-in-victoria-regency-street-sw1-a/,215,Victoria,"Gracious double room for single use in a modern flatshare in Victoria, Regency Street, SW1 -A","['Bars at proximity', 'Broadband', 'Bus nearby', 'Close to the tube', 'Fantastic location', 'Fully Furnished']",True,2018-05-01
https://myrooms.co.uk/properties/room-alert-incredible-en-suite-for-single-use-in-a-brand-new-flat-share-in-golders-green-finchley-road-nw11-c/,210,Golders Green,"Room alert: incredible en-suite for single use in a brand new flat share in Golders Green, Finchley Road, NW11, -C","['Bars at proximity', 'Broadband', 'Close to the tube', 'En-suite', 'Fantastic location', 'Fully Furnished']",True,2018-06-01
